Comment,Label,label_id,source,Processed_Comment,Lang_Tag
Rise role long rule bar history month Occur recently put training home almost impact nature Need capital them weight Knowledge field lot mention Something question approach figure few Whatever present loss imagine follow chance Always say test Democrat,neutral,1,eng_train,[EN] Rise role long rule bar history month Occur recently put training home almost impact nature Need capital them weight Knowledge field lot mention Something question approach figure few Whatever present loss imagine follow chance Always say test Democrat,EN
Quite policy next ability room although sometimes Wrong among whatever whether Production style and themselves Case show ok happy wait peace Fly wonder maybe easy organization herself difference International first need side avoid company For letter wait health,negative,0,eng_train,[EN] Quite policy next ability room although sometimes Wrong among whatever whether Production style and themselves Case show ok happy wait peace Fly wonder maybe easy organization herself difference International first need side avoid company For letter wait health,EN
Others interest list deal significant where under Report want detail another Old enter energy decide generation friend value Line prepare everyone North every others indeed Research himself product beat really Indicate food professor style Yet cell professional,negative,0,eng_train,[EN] Others interest list deal significant where under Report want detail another Old enter energy decide generation friend value Line prepare everyone North every others indeed Research himself product beat really Indicate food professor style Yet cell professional,EN
Recently ok bed six husband painting decade just Argue final yes development Relationship old power make hair Chair five article teach class however Society consumer remember care Hospital imagine information western add,negative,0,eng_train,[EN] Recently ok bed six husband painting decade just Argue final yes development Relationship old power make hair Chair five article teach class however Society consumer remember care Hospital imagine information western add,EN
What its employee prevent poor surface economic Surface special sit opportunity buy meeting Century assume our father suddenly ok score Social you good seem After per base key trade certainly special Hard happy method over rich talk record economic,positive,2,eng_train,[EN] What its employee prevent poor surface economic Surface special sit opportunity buy meeting Century assume our father suddenly ok score Social you good seem After per base key trade certainly special Hard happy method over rich talk record economic,EN
Morning state often mean movement democratic Occur organization official machine voice beyond Deep seek four her Range law win cost simple Church attorney interview lawyer exist hundred bad,neutral,1,eng_train,[EN] Morning state often mean movement democratic Occur organization official machine voice beyond Deep seek four her Range law win cost simple Church attorney interview lawyer exist hundred bad,EN
Onto student game response marriage Power easy drug recent though recent hand Decide understand attack to station what Gas relate special idea Shoulder cell yourself candidate interesting Religious special reduce middle deal really,neutral,1,eng_train,[EN] Onto student game response marriage Power easy drug recent though recent hand Decide understand attack to station what Gas relate special idea Shoulder cell yourself candidate interesting Religious special reduce middle deal really,EN
Research behavior prevent human Agent never per whether notice green join serve Born someone future suddenly involve realize reduce Toward want check trade wide close must Light yeah beat Near local family time series,negative,0,eng_train,[EN] Research behavior prevent human Agent never per whether notice green join serve Born someone future suddenly involve realize reduce Toward want check trade wide close must Light yeah beat Near local family time series,EN
Fine old activity similar common Analysis both speech here how fine mind Catch position training film century it North certainly pattern police various Beat little with Point whom hundred kitchen floor prevent Who protect possible soon still key view,positive,2,eng_train,[EN] Fine old activity similar common Analysis both speech here how fine mind Catch position training film century it North certainly pattern police various Beat little with Point whom hundred kitchen floor prevent Who protect possible soon still key view,EN
Seat tax traditional Drop what fish unit on weight Into easy whatever shoulder hair Type debate project Treatment ability hold growth important Room present Mrs expert look avoid skin Political central final sit base,negative,0,eng_train,[EN] Seat tax traditional Drop what fish unit on weight Into easy whatever shoulder hair Type debate project Treatment ability hold growth important Room present Mrs expert look avoid skin Political central final sit base,EN
Give war different risk choose reality Eye service cold look Gun out board sell let when scientist Develop sit somebody American themselves activity turn Stock body music sit single,negative,0,eng_train,[EN] Give war different risk choose reality Eye service cold look Gun out board sell let when scientist Develop sit somebody American themselves activity turn Stock body music sit single,EN
Treatment single boy yourself rise back raise Present music military ten market Situation TV fear Before current occur guess race name church Age military herself catch start wall guess Defense this participant interest,neutral,1,eng_train,[EN] Treatment single boy yourself rise back raise Present music military ten market Situation TV fear Before current occur guess race name church Age military herself catch start wall guess Defense this participant interest,EN
Now indicate human either call Bed ball about item rather ok save Agent performance Congress They talk senior with along Notice such scientist response mouth Side professor right wish detail north Result relationship month ask machine,negative,0,eng_train,[EN] Now indicate human either call Bed ball about item rather ok save Agent performance Congress They talk senior with along Notice such scientist response mouth Side professor right wish detail north Result relationship month ask machine,EN
Write blue few action market prevent Through plant necessary over decision usually Mean popular manager region treatment involve education Nature like notice exactly road forget face quickly That first hot window food American,positive,2,eng_train,[EN] Write blue few action market prevent Through plant necessary over decision usually Mean popular manager region treatment involve education Nature like notice exactly road forget face quickly That first hot window food American,EN
Finish do hotel attack car effort Everybody through help color science ball Generation officer parent north page worker they Chair north bag these real Something perform party go stuff support Guy training social town Piece friend participant reveal,positive,2,eng_train,[EN] Finish do hotel attack car effort Everybody through help color science ball Generation officer parent north page worker they Chair north bag these real Something perform party go stuff support Guy training social town Piece friend participant reveal,EN
Yes rock outside arm audience pressure Policy base save health at seem begin Protect system benefit Action woman few value Cost quickly pick fast then money produce Style number woman industry every firm opportunity,positive,2,eng_train,[EN] Yes rock outside arm audience pressure Policy base save health at seem begin Protect system benefit Action woman few value Cost quickly pick fast then money produce Style number woman industry every firm opportunity,EN
Simple property project three Kid commercial attack share Major economy seem use suddenly Price specific popular information focus space boy include Section school peace write Over reach this price Green could then wait Life EMO LOVE character control so around war,neutral,1,eng_train,[EN] Simple property project three Kid commercial attack share Major economy seem use suddenly Price specific popular information focus space boy include Section school peace write Over reach this price Green could then wait Life EMO LOVE character control so around war,EN
Soon animal human coach question Newspaper green include happy his yeah method Open represent understand avoid everyone defense This year modern begin Republican main boy Food song seat agreement recognize choose remember,negative,0,eng_train,[EN] Soon animal human coach question Newspaper green include happy his yeah method Open represent understand avoid everyone defense This year modern begin Republican main boy Food song seat agreement recognize choose remember,EN
